FILEDS PRESENT IN TABLES,TABLE NAME,DESCRIPTION
victim_financial_assistance,eventvictim,
victim_financial_assistance_value,eventvictim,
victim_irla,eventvictim,
victim_nok,eventvictim,
victim_post_mortem,eventvictim,
victim_rank,eventvictim,
victim_type,eventvictim,
victim_unit,eventvictim,
zipcode,eventvictim,
checked_by,feedback,
created_at,feedback,
created_by,feedback,
created_by_unit,feedback,
feedback,feedback,
id,feedback,
rec,feedback,
role,feedback,
send_to,feedback,
status,feedback,
status_view,feedback,
subject,feedback,
created_at,feedback_remarks,
feed_id,feedback_remarks,
id,feedback_remarks,
remark,feedback_remarks,
remark_by,feedback_remarks,
created_at,fileupload,
created_by,fileupload,
created_by_unit,fileupload,
date_from,fileupload,
date_to,fileupload,
description,fileupload,
document_type,fileupload,
file_name,fileupload,
file_type,fileupload,
file_url,fileupload,
share_with,fileupload,
sno,fileupload,
subject,fileupload,
updated_at,fileupload,
updated_by,fileupload,
created_at,fileupload_share,
created_by,fileupload_share,
created_by_unit,fileupload_share,
fileupload_id,fileupload_share,
sno,fileupload_share,
unit,fileupload_share,
updated_at,fileupload_share,
updated_by,fileupload_share,
created_at,fir,
created_by_unit,fir,
createdby,fir,
description,fir,
fir_copy,fir,
fir_id,fir,
firdate,fir,
firnumber,fir,
firplace,fir,
ioname,fir,
ionumber,fir,
policestation,fir,
pos_district,fir,
pos_state,fir,
status,fir,
typeofcrime,fir,
undersection,fir,
updated_at,fir,
updatedby,fir,
viewed,fir,
warrented_address,fir,
warrented_age,fir,
warrented_cast,fir,
warrented_father,fir,
warrented_issue_date,fir,
warrented_name,fir,
warrented_ration,fir,
created_at,firstatus,
createdby,firstatus,
fir_id,firstatus,
remarks,firstatus,
sno,firstatus,
status,firstatus,
updated_at,firstatus,
updatedby,firstatus,
created_at,formationhierarchy,
created_by,formationhierarchy,
formationtype,formationhierarchy,
hierarchy,formationhierarchy,
hierarchy_desc,formationhierarchy,
sno,formationhierarchy,
updated_at,formationhierarchy,
updated_by,formationhierarchy,
created_at,formationtypes,
created_by,formationtypes,
description,formationtypes,
name,formationtypes,
sno,formationtypes,
updated_at,formationtypes,
updated_by,formationtypes,
created_at,groupcentre,
created_by,groupcentre,
description,groupcentre,
directorategeneral,groupcentre,
name,groupcentre,
range,groupcentre,
sector,groupcentre,
sno,groupcentre,
theatre,groupcentre,
unitcode,groupcentre,
updated_at,groupcentre,
updated_by,groupcentre,
zone,groupcentre,
avail_of_fire_fighting,helicopter,
avail_of_medical_cover,helicopter,
avail_of_standard_smoke,helicopter,
avail_of_wind_sock,helicopter,
created_at,helicopter,
created_by,helicopter,
disposition_of_naxals,helicopter,
fuel_latitude,helicopter,
fuel_location,helicopter,
fuel_longitude,helicopter,
helipad_nodal_officer_ensure,helicopter,
indent_date,helicopter,
movement_of_Naxalites,helicopter,
name_of_indenting_agency,helicopter,
night_landing,helicopter,
position_force,helicopter,
position_latitude,helicopter,
position_location,helicopter,
position_longitude,helicopter,
rel_helipad_breadth,helicopter,
rel_helipad_elevation,helicopter,
rel_helipad_latitude,helicopter,
rel_helipad_length,helicopter,
rel_helipad_location,helicopter,
rel_helipad_longitude,helicopter,
sanitization_of_helipads,helicopter,
sno,helicopter,
strength_of_naxals,helicopter,
troops_tarmac_discipline,helicopter,
type_of_helicopter,helicopter,
type_of_surface,helicopter,
updated_at,helicopter,
updated_by,helicopter,
weapons_with_naxals,helicopter,
created_at,helicopter_avl_fuel_details,
created_by,helicopter_avl_fuel_details,
fuel_latitude,helicopter_avl_fuel_details,
fuel_location,helicopter_avl_fuel_details,
fuel_longitude,helicopter_avl_fuel_details,
h_id,helicopter_avl_fuel_details,
id,helicopter_avl_fuel_details,
updated_at,helicopter_avl_fuel_details,
updated_by,helicopter_avl_fuel_details,
created_at,helicopter_coordinating_officer,
created_by,helicopter_coordinating_officer,
h_id,helicopter_coordinating_officer,
officer_email,helicopter_coordinating_officer,
officer_irla_no,helicopter_coordinating_officer,
officer_latitude,helicopter_coordinating_officer,
officer_location,helicopter_coordinating_officer,
officer_longitude,helicopter_coordinating_officer,
officer_name,helicopter_coordinating_officer,
officer_phone,helicopter_coordinating_officer,
officer_rank,helicopter_coordinating_officer,
